DATE,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1
6/21/2019,MANHATTAN,10012,40.726933,-73.99992,"(40.726933, -73.99992)",LAGUARDIA PLACE                 ,WEST HOUSTON STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Sedan
6/21/2019,,,40.829327,-73.84741,"(40.829327, -73.84741)",CROSS BRONX EXPY                ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
6/21/2019,BRONX,10468,40.873657,-73.89838,"(40.873657, -73.89838)",UNIVERSITY AVENUE               ,RESERVOIR AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,MANHATTAN,10029,40.791355,-73.9463,"(40.791355, -73.9463)",,,156       EAST 105 STREET               ,0,0,0,0,0,0,0,0,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle
6/21/2019,,,,,,WEST 145 STREET                 ,WEST 128 STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Station Wagon/Sport Utility Vehicle
6/21/2019,BROOKLYN,11201,40.696033,-73.98453,"(40.696033, -73.98453)",FLATBUSH AVENUE EXTENSION       ,TILLARY STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Sedan
6/21/2019,BROOKLYN,11212,40.656784,-73.91379,"(40.656784, -73.91379)",CHURCH AVENUE                   ,EAST 98 STREET,,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,STATEN ISLAND,10304,40.606873,-74.09025,"(40.606873, -74.09025)",,,884       TARGEE STREET                 ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle
6/21/2019,BRONX,10461,40.856583,-73.84027,"(40.856583, -73.84027)",,,1580      PELHAM PARKWAY SOUTH          ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Box Truck
6/21/2019,QUEENS,11378,40.73244,-73.925255,"(40.73244, -73.925255)",KOSCIUSKO BRIDGE                ,BROOKLYN QUEENS EXPRESSWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
6/21/2019,QUEENS,11419,40.68588,-73.81649,"(40.68588, -73.81649)",,,107-23    127 STREET                    ,0,0,0,0,0,0,0,0,Backing Unsafely,Station Wagon/Sport Utility Vehicle
6/21/2019,BROOKLYN,11230,40.61801,-73.96005,"(40.61801, -73.96005)",AVENUE M                        ,EAST 15 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Box Truck
6/21/2019,,,40.698544,-73.96236,"(40.698544, -73.96236)",BROOKLYN QUEENS EXPRESSWAY      ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Sedan
6/21/2019,BRONX,10456,40.830837,-73.9166,"(40.830837, -73.9166)",EAST 166 STREET                 ,GRANT AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.867554,-73.84065,"(40.867554, -73.84065)",EAST GUN HILL ROAD              ,,,0,0,0,0,0,0,0,0,Driver Inexperience,Station Wagon/Sport Utility Vehicle
6/21/2019,QUEENS,11369,,,,,,108-01    GRAND CENTRAL PARKWAY         ,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,,,40.7549,-73.74548,"(40.7549, -73.74548)",CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Following Too Closely,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.744503,-73.975235,"(40.744503, -73.975235)",EAST 34 STREET                  ,QUEENS MIDTOWN TUNNEL ENTRANCE,,0,0,0,0,0,0,0,0,Oversized Vehicle,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.775826,-73.991264,"(40.775826, -73.991264)",HENRY HUDSON PARKWAY            ,,,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,BROOKLYN,11215,40.666477,-73.97719,"(40.666477, -73.97719)",,,579       7 STREET                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
6/21/2019,BRONX,10455,40.809456,-73.909454,"(40.809456, -73.909454)",EAST 144 STREET                 ,CONCORD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Box Truck
6/21/2019,BROOKLYN,11212,40.659485,-73.918304,"(40.659485, -73.918304)",ROCKAWAY PARKWAY                ,LENOX ROAD,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Sedan
